input1,input2,input3,output1,output2,output3
73,19,10,2.0198,386.1986,6.39
32,16,4,1.2587,512.3688,2.85
138,23,13,1.3964,452.779,1.88
135,20,10,1.2628,500.5619,8.46
133,21,9,1.3968,492.9148,3.83
89,19,10,1.4641,398.341,1.64
183,20,12,1.1382,491.3937,4.83
29,17,6,1.7956,372.3014,2.51
126,20,11,1.0276,469.9302,2.81
187,20,13,1.0032,491.9924,3.01
27,17,4,1.5084,450.728,0.22
34,20,4,3.123,420.1659,2.53
118,22,11,1.1696,454.7537,7.09
83,18,12,1.4184,410.013,1.34
88,20,7,1.2534,485.5692,3.42
118,22,13,1.7852,433.2248,6.08
33,19,5,2.3892,409.2059,1.27
123,20,11,1.3377,423.1466,2.04
40,17,5,1.8542,423.8279,3.46
36,16,4,1.8356,441.0672,7.63
144,17,10,0.9878,453.0301,4.83
46,20,4,1.8254,530.3598,5.41
93,20,11,1.1056,446.0014,7.08
34,20,2,1.7087,515.5857,4.34
87,21,13,1.6982,420.4443,7.6
143,18,13,0.8936,441.7067,10.01
121,21,15,1.2353,443.5621,7.7
55,17,8,2.1434,345.7165,6.77
158,22,12,1.3545,481.7088,5.18
36,18,5,2.0174,435.1857,5.89
143,22,7,1.1278,492.3406,0.8
55,15,7,1.5602,431.5848,1.49
77,16,11,1.2587,374.8709,4.07
41,16,4,1.3675,411.1901,7.03
36,18,5,1.5183,400.6711,7.04
35,18,4,1.3056,467.9835,0.29
142,23,13,0.9993,463.4053,7.18
97,17,10,1.0264,465.8122,3.45
33,17,7,2.0917,367.3128,1.19
90,20,12,1.0351,430.1254,1.4
67,18,10,1.0902,448.5247,1.33
30,18,5,1.5236,441.1279,0.84
94,16,11,1.0279,424.0651,5.41
33,17,6,1.5604,429.8361,2.43
65,17,10,1.5545,358.4933,2.55
85,21,12,2.2787,395.7215,9.46
140,22,8,1.2577,507.5611,4.99
133,22,7,1.3494,486.384,1.53
30,15,3,1.2997,465.3804,0.49
40,17,4,1.562,453.6323,0.27
50,16,7,2.0423,430.4185,8.25
62,18,5,1.3989,412.9763,2.35
30,15,4,1.1109,422.13,0.88
105,21,12,1.1978,451.3108,9.38
48,18,8,1.6276,395.614,5.89
38,19,4,1.6373,455.301,6
120,21,11,1.6317,477.9111,9.08
78,19,5,1.6711,526.2943,4.46
44,18,8,2.2,361.6297,8.53
129,19,14,1.1803,382.3207,4.05
71,15,9,0.9761,442.6912,1.79
44,20,7,2.3364,411.4898,2.19
